loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F07Q10025180,D,0.0025,0.0031
F07Q10025202,A,0.0005,0.0008
F07Q10025209,B,0.0012,0.0016
F07Q10025293,H,0.0236,0.0267
F07Q10025323,A,0.0005,0.0008
F07Q10025336,D,0.0025,0.0031
F07Q10025338,A,0.0005,0.0008
F07Q10025345,D,0.0025,0.0031
F07Q10025360,B,0.0012,0.0016
F07Q10025391,G,0.0129,0.0143
F07Q10025400,F,0.0098,0.011
F07Q10025417,A,0.0005,0.0008
F07Q10025456,D,0.0025,0.0031
F07Q10025519,H,0.0236,0.0267
F07Q10025538,C,0.0015,0.002
F07Q10025569,D,0.0025,0.0031
F07Q10025601,G,0.0129,0.0143
F07Q10025607,E,0.006,0.0069
F07Q10025609,F,0.0098,0.011
F07Q10025618,E,0.006,0.0069
F07Q10025628,D,0.0025,0.0031
F07Q10025659,E,0.006,0.0069
F07Q10025697,D,0.0025,0.0031
F07Q10025698,D,0.0025,0.0031
F07Q10025700,H,0.0236,0.0267
F07Q10025719,H,0.0236,0.0267
F07Q10025760,A,0.0005,0.0008
F07Q10025823,D,0.0025,0.0031
F07Q10025844,E,0.006,0.0069
F07Q10025860,D,0.0025,0.0031
F07Q10025918,F,0.0098,0.011
F07Q10025964,G,0.0129,0.0143
F07Q10026024,E,0.006,0.0069
F07Q10026048,C,0.0015,0.002
F07Q10026051,C,0.0015,0.002
F07Q10026127,G,0.0129,0.0143
F07Q10026173,E,0.006,0.0069
F07Q10026181,F,0.0098,0.011
F07Q10026206,A,0.0005,0.0008
F07Q10026212,G,0.0129,0.0143
F07Q10026235,E,0.006,0.0069
F07Q10026270,G,0.0129,0.0143
F07Q10026272,F,0.0098,0.011
F07Q10026340,F,0.0098,0.011
F07Q10026352,F,0.0098,0.011
F07Q10026398,B,0.0012,0.0016
F07Q10026430,A,0.0005,0.0008
F07Q10026456,C,0.0015,0.002
F07Q10026464,F,0.0098,0.011
F07Q10026501,H,0.0236,0.0267
F07Q10026540,B,0.0012,0.0016
F07Q10026548,F,0.0098,0.011
F07Q10026576,C,0.0015,0.002
F07Q10026616,G,0.0129,0.0143
F07Q10026705,E,0.006,0.0069
F07Q10026757,F,0.0098,0.011
F07Q10026790,C,0.0015,0.002
F07Q10026804,C,0.0015,0.002
F07Q10026849,C,0.0015,0.002
F07Q10026850,A,0.0005,0.0008
F07Q10026852,D,0.0025,0.0031
F07Q10026867,D,0.0025,0.0031
F07Q10026878,C,0.0015,0.002
F07Q10026884,H,0.0236,0.0267
F07Q10026924,H,0.0236,0.0267
F07Q10026943,E,0.006,0.0069
F07Q10026969,F,0.0098,0.011
F07Q10027004,H,0.0236,0.0267
F07Q10027015,E,0.006,0.0069
F07Q10027018,D,0.0025,0.0031
F07Q10027021,E,0.006,0.0069
F07Q10027055,E,0.006,0.0069
F07Q10027073,A,0.0005,0.0008
F07Q10027113,H,0.0236,0.0267
F07Q10027251,G,0.0129,0.0143
F07Q10027271,H,0.0236,0.0267
F07Q10027305,H,0.0236,0.0267
F07Q10027346,B,0.0012,0.0016
F07Q10027413,E,0.006,0.0069
F07Q10027561,G,0.0129,0.0143
F07Q10027569,E,0.006,0.0069
F07Q10027588,F,0.0098,0.011
F07Q10027638,C,0.0015,0.002
F07Q10027658,F,0.0098,0.011
F07Q10027704,D,0.0025,0.0031
F07Q10027717,C,0.0015,0.002
F07Q10027749,E,0.006,0.0069
F07Q10027769,H,0.0236,0.0267
F07Q10027773,F,0.0098,0.011
F07Q10027834,G,0.0129,0.0143
F07Q10027858,F,0.0098,0.011
F07Q10027865,A,0.0005,0.0008
F07Q10027982,H,0.0236,0.0267
F07Q10028012,F,0.0098,0.011
F07Q10028063,E,0.006,0.0069
F07Q10028069,C,0.0015,0.002
F07Q10028079,H,0.0236,0.0267
F07Q10028085,E,0.006,0.0069
F07Q10028109,E,0.006,0.0069
F07Q10028132,F,0.0098,0.011
F07Q10028194,F,0.0098,0.011
F07Q10028221,H,0.0236,0.0267
F07Q10028287,C,0.0015,0.002
F07Q10028320,F,0.0098,0.011
F07Q10028331,F,0.0098,0.011
F07Q10028369,C,0.0015,0.002
F07Q10028377,G,0.0129,0.0143
F07Q10028418,H,0.0236,0.0267
F07Q10028485,G,0.0129,0.0143
F07Q10028501,C,0.0015,0.002
F07Q10028527,D,0.0025,0.0031
F07Q10028593,F,0.0098,0.011
F07Q10028601,G,0.0129,0.0143
F07Q10028614,A,0.0005,0.0008
F07Q10028619,F,0.0098,0.011
F07Q10028668,E,0.006,0.0069
F07Q10028678,E,0.006,0.0069
F07Q10028734,C,0.0015,0.002
F07Q10028740,F,0.0098,0.011
F07Q10028756,F,0.0098,0.011
F07Q10028784,A,0.0005,0.0008
F07Q10028837,E,0.006,0.0069
F07Q10028843,G,0.0129,0.0143
F07Q10028845,E,0.006,0.0069
F07Q10028882,E,0.006,0.0069
F07Q10028883,H,0.0236,0.0267
F07Q10028935,F,0.0098,0.011
F07Q10029139,G,0.0129,0.0143
F07Q10029168,H,0.0236,0.0267
F07Q10029193,D,0.0025,0.0031
F07Q10029211,F,0.0098,0.011
F07Q10029279,G,0.0129,0.0143
F07Q10029324,B,0.0012,0.0016
F07Q10029350,E,0.006,0.0069
F07Q10029385,H,0.0236,0.0267
F07Q10029401,C,0.0015,0.002
F07Q10029414,A,0.0005,0.0008
F07Q10029421,A,0.0005,0.0008
F07Q10029431,C,0.0015,0.002
F07Q10029501,D,0.0025,0.0031
F07Q10029549,C,0.0015,0.002
F07Q10029583,C,0.0015,0.002
F07Q10029604,G,0.0129,0.0143
F07Q10029643,G,0.0129,0.0143
F07Q10029673,F,0.0098,0.011
F07Q10029712,G,0.0129,0.0143
F07Q10029727,G,0.0129,0.0143
F07Q10029755,E,0.006,0.0069
F07Q10029792,F,0.0098,0.011
F07Q10029822,E,0.006,0.0069
F07Q10029836,F,0.0098,0.011
F07Q10029845,D,0.0025,0.0031
F07Q10029854,G,0.0129,0.0143
F07Q10029881,G,0.0129,0.0143
F07Q10029900,H,0.0236,0.0267
F07Q10029902,H,0.0236,0.0267
F07Q10029913,E,0.006,0.0069
F07Q10029926,B,0.0012,0.0016
F07Q10029980,F,0.0098,0.011
F07Q10030012,G,0.0129,0.0143
F07Q10030049,G,0.0129,0.0143
F07Q10030099,H,0.0236,0.0267
F07Q10030106,F,0.0098,0.011
F07Q10030158,B,0.0012,0.0016
F07Q10030182,D,0.0025,0.0031
F07Q10030211,H,0.0236,0.0267
F07Q10030258,H,0.0236,0.0267
F07Q10030266,G,0.0129,0.0143
F07Q10030280,H,0.0236,0.0267
F07Q10030308,B,0.0012,0.0016
F07Q10030339,F,0.0098,0.011
F07Q10030340,B,0.0012,0.0016
F07Q10030361,G,0.0129,0.0143
F07Q10030460,B,0.0012,0.0016
F07Q10030559,D,0.0025,0.0031
F07Q10030584,E,0.006,0.0069
F07Q10030610,H,0.0236,0.0267
F07Q10030628,G,0.0129,0.0143
F07Q10030633,H,0.0236,0.0267
F07Q10030640,G,0.0129,0.0143
F07Q10030647,E,0.006,0.0069
F07Q10030649,D,0.0025,0.0031
F07Q10030652,B,0.0012,0.0016
F07Q10030662,D,0.0025,0.0031
F07Q10030709,A,0.0005,0.0008
F07Q10030722,F,0.0098,0.011
F07Q10030785,C,0.0015,0.002
F07Q10030823,E,0.006,0.0069
F07Q10030852,E,0.006,0.0069
F07Q10030926,F,0.0098,0.011
F07Q10030986,G,0.0129,0.0143
F07Q10031008,F,0.0098,0.011
F07Q10031009,A,0.0005,0.0008
F07Q10031083,C,0.0015,0.002
F07Q10031113,D,0.0025,0.0031
F07Q10031187,F,0.0098,0.011
F07Q10031252,H,0.0236,0.0267
F07Q10031330,C,0.0015,0.002
F07Q10031338,E,0.006,0.0069
F07Q10031345,G,0.0129,0.0143
F07Q10031347,E,0.006,0.0069
F07Q10031365,D,0.0025,0.0031
F07Q10031399,E,0.006,0.0069
F07Q10031419,E,0.006,0.0069
F07Q10031432,B,0.0012,0.0016
F07Q10031443,B,0.0012,0.0016
F07Q10031502,A,0.0005,0.0008
F07Q10031568,F,0.0098,0.011
F07Q10031571,G,0.0129,0.0143
F07Q10031578,G,0.0129,0.0143
F07Q10031590,A,0.0005,0.0008
F07Q10031596,C,0.0015,0.002
F07Q10031644,G,0.0129,0.0143
F07Q10031648,D,0.0025,0.0031
F07Q10031657,B,0.0012,0.0016
F07Q10031698,D,0.0025,0.0031
F07Q10031710,G,0.0129,0.0143
F07Q10031722,E,0.006,0.0069
F07Q10031727,C,0.0015,0.002
F07Q10031741,H,0.0236,0.0267
F07Q10031808,H,0.0236,0.0267
F07Q10031898,D,0.0025,0.0031
F07Q10032059,A,0.0005,0.0008
F07Q10032183,C,0.0015,0.002
F07Q10032190,D,0.0025,0.0031
F07Q10032259,G,0.0129,0.0143
F07Q10032343,H,0.0236,0.0267
F07Q10032365,A,0.0005,0.0008
F07Q10032380,C,0.0015,0.002
F07Q10032395,G,0.0129,0.0143
F07Q10032408,E,0.006,0.0069
F07Q10032414,C,0.0015,0.002
F07Q10032417,A,0.0005,0.0008
F07Q10032453,E,0.006,0.0069
F07Q10032478,F,0.0098,0.011
F07Q10032495,H,0.0236,0.0267
F07Q10032512,E,0.006,0.0069
F07Q10032530,D,0.0025,0.0031
F07Q10032544,C,0.0015,0.002
F07Q10032564,B,0.0012,0.0016
F07Q10032576,G,0.0129,0.0143
F07Q10032587,G,0.0129,0.0143
F07Q10032618,B,0.0012,0.0016
F07Q10032641,E,0.006,0.0069
F07Q10032653,C,0.0015,0.002
F07Q10032671,E,0.006,0.0069
F07Q10032675,G,0.0129,0.0143
F07Q10032714,C,0.0015,0.002
F07Q10032767,B,0.0012,0.0016
F07Q10032783,D,0.0025,0.0031
F07Q10032786,D,0.0025,0.0031
F07Q10032798,H,0.0236,0.0267
F07Q10032804,A,0.0005,0.0008
F07Q10032818,C,0.0015,0.002
F07Q10032853,E,0.006,0.0069
F07Q10032901,B,0.0012,0.0016
F07Q10032914,D,0.0025,0.0031
F07Q10032919,D,0.0025,0.0031
F07Q10032938,B,0.0012,0.0016
F07Q10032954,C,0.0015,0.002
F07Q10033053,D,0.0025,0.0031
F07Q10033086,B,0.0012,0.0016
F07Q10033107,E,0.006,0.0069
F07Q10033124,G,0.0129,0.0143
F07Q10033181,G,0.0129,0.0143
F07Q10033192,B,0.0012,0.0016
F07Q10033200,G,0.0129,0.0143
F07Q10033238,F,0.0098,0.011
F07Q10033308,G,0.0129,0.0143
F07Q10033320,G,0.0129,0.0143
F07Q10033389,A,0.0005,0.0008
F07Q10033394,D,0.0025,0.0031
F07Q10033426,A,0.0005,0.0008
F07Q10033515,F,0.0098,0.011
F07Q10033548,G,0.0129,0.0143
F07Q10033551,G,0.0129,0.0143
F07Q10033585,C,0.0015,0.002
F07Q10033638,G,0.0129,0.0143
F07Q10033710,H,0.0236,0.0267
F07Q10033721,H,0.0236,0.0267
F07Q10033730,H,0.0236,0.0267
F07Q10033774,F,0.0098,0.011
F07Q10033790,D,0.0025,0.0031
F07Q10033820,A,0.0005,0.0008
F07Q10033829,H,0.0236,0.0267
F07Q10033849,D,0.0025,0.0031
F07Q10033855,F,0.0098,0.011
F07Q10033865,D,0.0025,0.0031
F07Q10033883,B,0.0012,0.0016
F07Q10033929,G,0.0129,0.0143
F07Q10033934,C,0.0015,0.002
F07Q10034026,F,0.0098,0.011
F07Q10034029,F,0.0098,0.011
F07Q10034032,F,0.0098,0.011
F07Q10034122,G,0.0129,0.0143
F07Q10034256,F,0.0098,0.011
F07Q10034262,H,0.0236,0.0267
F07Q10034267,G,0.0129,0.0143
F07Q10034377,C,0.0015,0.002
F07Q10034385,H,0.0236,0.0267
F07Q10034394,G,0.0129,0.0143
F07Q10034496,A,0.0005,0.0008
F07Q10034519,G,0.0129,0.0143
F07Q10034530,B,0.0012,0.0016
F07Q10034591,C,0.0015,0.002
F07Q10034652,E,0.006,0.0069
F07Q10034669,C,0.0015,0.002
F07Q10034711,C,0.0015,0.002
F07Q10034744,G,0.0129,0.0143
F07Q10034752,D,0.0025,0.0031
F07Q10034755,E,0.006,0.0069
F07Q10034795,G,0.0129,0.0143
F07Q10034812,D,0.0025,0.0031
F07Q10034853,C,0.0015,0.002
F07Q10034869,F,0.0098,0.011
F07Q10034874,B,0.0012,0.0016
F07Q10034887,A,0.0005,0.0008
F07Q10034891,B,0.0012,0.0016
F07Q10034894,G,0.0129,0.0143
F07Q10034899,C,0.0015,0.002
F07Q10034977,F,0.0098,0.011
F07Q10034995,F,0.0098,0.011
F07Q10035035,F,0.0098,0.011
F07Q10035041,F,0.0098,0.011
F07Q10035044,C,0.0015,0.002
F07Q10035141,H,0.0236,0.0267
F07Q10035190,E,0.006,0.0069
F07Q10035243,D,0.0025,0.0031
F07Q10035277,E,0.006,0.0069
F07Q10035329,G,0.0129,0.0143
F07Q10035383,G,0.0129,0.0143
F07Q10035384,F,0.0098,0.011
F07Q10035517,F,0.0098,0.011
F07Q10035521,H,0.0236,0.0267
F07Q10035563,E,0.006,0.0069
F07Q10035642,D,0.0025,0.0031
F07Q10035735,H,0.0236,0.0267
F07Q10035797,H,0.0236,0.0267
F07Q10035800,H,0.0236,0.0267
F07Q10035834,G,0.0129,0.0143
F07Q10035912,C,0.0015,0.002
F07Q10035924,A,0.0005,0.0008
F07Q10036015,B,0.0012,0.0016
F07Q10036110,A,0.0005,0.0008
F07Q10036131,E,0.006,0.0069
F07Q10036167,G,0.0129,0.0143
F07Q10036187,D,0.0025,0.0031
F07Q10036232,E,0.006,0.0069
F07Q10036255,H,0.0236,0.0267
F07Q10036284,G,0.0129,0.0143
F07Q10036352,D,0.0025,0.0031
F07Q10036357,G,0.0129,0.0143
F07Q10036373,C,0.0015,0.002
F07Q10036468,A,0.0005,0.0008
F07Q10036564,H,0.0236,0.0267
F07Q10036584,G,0.0129,0.0143
F07Q10036592,G,0.0129,0.0143
F07Q10036769,G,0.0129,0.0143
F07Q10036808,F,0.0098,0.011
F07Q10036811,F,0.0098,0.011
F07Q10036865,E,0.006,0.0069
F07Q10036882,E,0.006,0.0069
F07Q10036891,E,0.006,0.0069
F07Q10036925,A,0.0005,0.0008
F07Q10036935,G,0.0129,0.0143
F07Q10036936,F,0.0098,0.011
F07Q10036994,C,0.0015,0.002
F07Q10037082,F,0.0098,0.011
F07Q10037156,H,0.0236,0.0267
F07Q10037205,H,0.0236,0.0267
F07Q10037224,F,0.0098,0.011
F07Q10037230,H,0.0236,0.0267
F07Q10037319,B,0.0012,0.0016
F07Q10037413,H,0.0236,0.0267
F07Q10037559,F,0.0098,0.011
F07Q10037570,C,0.0015,0.002
F07Q10037604,B,0.0012,0.0016
F07Q10037721,E,0.006,0.0069
F07Q10037725,H,0.0236,0.0267
F07Q10037732,F,0.0098,0.011
F07Q10037758,E,0.006,0.0069
F07Q10037785,G,0.0129,0.0143
F07Q10037792,G,0.0129,0.0143
F07Q10037843,F,0.0098,0.011
F07Q10037884,H,0.0236,0.0267
F07Q10037900,E,0.006,0.0069
F07Q10037999,C,0.0015,0.002
F07Q10038011,C,0.0015,0.002
F07Q10038013,H,0.0236,0.0267
F07Q10038016,G,0.0129,0.0143
F07Q10038069,E,0.006,0.0069
F07Q10038100,F,0.0098,0.011
F07Q10038110,D,0.0025,0.0031
F07Q10038151,F,0.0098,0.011
F07Q10038154,F,0.0098,0.011
F07Q10038160,G,0.0129,0.0143
F07Q10038211,G,0.0129,0.0143
F07Q10038233,D,0.0025,0.0031
F07Q10038248,F,0.0098,0.011
F07Q10038254,B,0.0012,0.0016
F07Q10038295,D,0.0025,0.0031
F07Q10038344,F,0.0098,0.011
F07Q10038397,D,0.0025,0.0031
F07Q10038422,C,0.0015,0.002
F07Q10038427,E,0.006,0.0069
F07Q10038439,E,0.006,0.0069
F07Q10038452,G,0.0129,0.0143
F07Q10038517,D,0.0025,0.0031
F07Q10038547,H,0.0236,0.0267
F07Q10038629,C,0.0015,0.002
F07Q10038648,G,0.0129,0.0143
F07Q10038678,A,0.0005,0.0008
F07Q10038719,B,0.0012,0.0016
F07Q10038724,C,0.0015,0.002
F07Q10038728,A,0.0005,0.0008
F07Q10038789,F,0.0098,0.011
F07Q10038830,H,0.0236,0.0267
F07Q10038860,B,0.0012,0.0016
F07Q10038889,A,0.0005,0.0008
F07Q10039014,G,0.0129,0.0143
F07Q10039074,B,0.0012,0.0016
F07Q10039111,B,0.0012,0.0016
F07Q10039126,D,0.0025,0.0031
F07Q10039152,E,0.006,0.0069
F07Q10039213,H,0.0236,0.0267
F07Q10039214,C,0.0015,0.002
F07Q10039246,F,0.0098,0.011
F07Q10039356,D,0.0025,0.0031
F07Q10039366,D,0.0025,0.0031
F07Q10039381,A,0.0005,0.0008
F07Q10039489,E,0.006,0.0069
F07Q10039724,D,0.0025,0.0031
F07Q10039782,A,0.0005,0.0008
F07Q10039787,C,0.0015,0.002
F07Q10039788,C,0.0015,0.002
F07Q10039791,B,0.0012,0.0016
F07Q10039807,A,0.0005,0.0008
F07Q10039812,D,0.0025,0.0031
F07Q10039828,F,0.0098,0.011
F07Q10039865,F,0.0098,0.011
F07Q10039874,G,0.0129,0.0143
F07Q10039898,G,0.0129,0.0143
F07Q10039946,E,0.006,0.0069
F07Q10040005,E,0.006,0.0069
F07Q10040026,H,0.0236,0.0267
F07Q10040063,D,0.0025,0.0031
F07Q10040067,H,0.0236,0.0267
F07Q10040195,F,0.0098,0.011
F07Q10040261,G,0.0129,0.0143
F07Q10040286,B,0.0012,0.0016
F07Q10040329,F,0.0098,0.011
F07Q10040381,D,0.0025,0.0031
F07Q10040413,C,0.0015,0.002
F07Q10040414,G,0.0129,0.0143
F07Q10040425,E,0.006,0.0069
F07Q10040440,G,0.0129,0.0143
F07Q10040457,E,0.006,0.0069
F07Q10040530,E,0.006,0.0069
F07Q10040585,D,0.0025,0.0031
F07Q10040607,B,0.0012,0.0016
F07Q10040676,H,0.0236,0.0267
F07Q10040702,D,0.0025,0.0031
F07Q10040737,G,0.0129,0.0143
F07Q10040754,E,0.006,0.0069
F07Q10040762,E,0.006,0.0069
F07Q10040768,G,0.0129,0.0143
F07Q10040799,B,0.0012,0.0016
F07Q10040808,A,0.0005,0.0008
F07Q10040819,G,0.0129,0.0143
F07Q10040842,B,0.0012,0.0016
F07Q10040850,G,0.0129,0.0143
F07Q10040855,A,0.0005,0.0008
F07Q10040859,E,0.006,0.0069
F07Q10040867,B,0.0012,0.0016
F07Q10040895,F,0.0098,0.011
F07Q10040907,A,0.0005,0.0008
F07Q10040942,F,0.0098,0.011
F07Q10040953,A,0.0005,0.0008
F07Q10040954,B,0.0012,0.0016
F07Q10040970,C,0.0015,0.002
F07Q10040972,C,0.0015,0.002
F07Q10040974,E,0.006,0.0069
F07Q10041030,G,0.0129,0.0143
F07Q10041076,G,0.0129,0.0143
F07Q10041085,D,0.0025,0.0031
F07Q10041135,E,0.006,0.0069
F07Q10041138,D,0.0025,0.0031
F07Q10041157,E,0.006,0.0069
F07Q10041172,F,0.0098,0.011
F07Q10041193,G,0.0129,0.0143
F07Q10041220,E,0.006,0.0069
F07Q10041258,G,0.0129,0.0143
F07Q10041280,H,0.0236,0.0267
F07Q10041311,G,0.0129,0.0143
F07Q10041381,F,0.0098,0.011
F07Q10041420,F,0.0098,0.011
F07Q10041450,F,0.0098,0.011
F07Q10041467,F,0.0098,0.011
F07Q10041497,C,0.0015,0.002
F07Q10041539,G,0.0129,0.0143
F07Q10041587,C,0.0015,0.002
F07Q10041823,G,0.0129,0.0143
F07Q10041848,E,0.006,0.0069
F07Q10041851,D,0.0025,0.0031
F07Q10041852,F,0.0098,0.011
F07Q10041864,H,0.0236,0.0267
F07Q10041902,E,0.006,0.0069
F07Q10042019,B,0.0012,0.0016
F07Q10042049,F,0.0098,0.011
F07Q10042056,G,0.0129,0.0143
F07Q10042104,G,0.0129,0.0143
F07Q10042170,G,0.0129,0.0143
F07Q10042196,C,0.0015,0.002
F07Q10042213,E,0.006,0.0069
F07Q10042371,C,0.0015,0.002
F07Q10042397,A,0.0005,0.0008
F07Q10042451,F,0.0098,0.011
F07Q10042482,B,0.0012,0.0016
F07Q10042502,E,0.006,0.0069
F07Q10042524,G,0.0129,0.0143
F07Q10042587,G,0.0129,0.0143
F07Q10042666,E,0.006,0.0069
F07Q10042692,C,0.0015,0.002
F07Q10042777,G,0.0129,0.0143
F07Q10042782,C,0.0015,0.002
F07Q10042783,C,0.0015,0.002
F07Q10042785,A,0.0005,0.0008
F07Q10042789,E,0.006,0.0069
F07Q10042805,E,0.006,0.0069
F07Q10042869,E,0.006,0.0069
F07Q10042874,G,0.0129,0.0143
F07Q10042920,C,0.0015,0.002
F07Q10042956,D,0.0025,0.0031
F07Q10042986,G,0.0129,0.0143
F07Q10043009,E,0.006,0.0069
F07Q10043041,H,0.0236,0.0267
F07Q10043113,H,0.0236,0.0267
F07Q10043126,C,0.0015,0.002
F07Q10043179,E,0.006,0.0069
F07Q10043204,G,0.0129,0.0143
F07Q10043208,G,0.0129,0.0143
F07Q10043238,F,0.0098,0.011
F07Q10043296,H,0.0236,0.0267
F07Q10043406,C,0.0015,0.002
F07Q10043420,B,0.0012,0.0016
F07Q10043482,E,0.006,0.0069
F07Q10043484,G,0.0129,0.0143
F07Q10043509,H,0.0236,0.0267
F07Q10043552,C,0.0015,0.002
F07Q10043622,D,0.0025,0.0031
F07Q10043625,F,0.0098,0.011
F07Q10043639,C,0.0015,0.002
F07Q10043648,E,0.006,0.0069
F07Q10043656,C,0.0015,0.002
F07Q10043688,C,0.0015,0.002
F07Q10043696,F,0.0098,0.011
F07Q10043732,G,0.0129,0.0143
F07Q10043749,G,0.0129,0.0143
F07Q10043756,H,0.0236,0.0267
F07Q10043773,F,0.0098,0.011
F07Q10043784,C,0.0015,0.002
F07Q10043814,F,0.0098,0.011
F07Q10043837,G,0.0129,0.0143
F07Q10043841,H,0.0236,0.0267
F07Q10043881,E,0.006,0.0069
F07Q10043917,H,0.0236,0.0267
F07Q10043996,D,0.0025,0.0031
F07Q10044164,B,0.0012,0.0016
F07Q10044211,G,0.0129,0.0143
F07Q10044231,D,0.0025,0.0031
F07Q10044263,H,0.0236,0.0267
F07Q10044303,H,0.0236,0.0267
F07Q10044327,G,0.0129,0.0143
F07Q10044361,H,0.0236,0.0267
F07Q10044385,G,0.0129,0.0143
F07Q10044387,C,0.0015,0.002
F07Q10044409,D,0.0025,0.0031
F07Q10044442,E,0.006,0.0069
F07Q10044465,E,0.006,0.0069
F07Q10044540,B,0.0012,0.0016
F07Q10044547,B,0.0012,0.0016
F07Q10044618,F,0.0098,0.011
F07Q10044698,E,0.006,0.0069
F07Q10044710,B,0.0012,0.0016
F07Q10044737,A,0.0005,0.0008
F07Q10044785,A,0.0005,0.0008
F07Q10044786,F,0.0098,0.011
F07Q10044807,D,0.0025,0.0031
F07Q10044816,D,0.0025,0.0031
F07Q10044842,E,0.006,0.0069
F07Q10044933,A,0.0005,0.0008
F07Q10044970,E,0.006,0.0069
F07Q10045033,E,0.006,0.0069
F07Q10045043,D,0.0025,0.0031
F07Q10045048,E,0.006,0.0069
F07Q10045080,F,0.0098,0.011
F07Q10045095,D,0.0025,0.0031
F07Q10045099,F,0.0098,0.011
F07Q10045120,H,0.0236,0.0267
F07Q10045123,D,0.0025,0.0031
F07Q10045135,G,0.0129,0.0143
F07Q10045187,G,0.0129,0.0143
F07Q10045193,D,0.0025,0.0031
F07Q10045196,C,0.0015,0.002
F07Q10045248,E,0.006,0.0069
F07Q10045273,F,0.0098,0.011
F07Q10045277,E,0.006,0.0069
F07Q10045286,D,0.0025,0.0031
F07Q10045314,A,0.0005,0.0008
F07Q10045362,H,0.0236,0.0267
F07Q10045374,D,0.0025,0.0031
F07Q10045449,A,0.0005,0.0008
F07Q10045463,C,0.0015,0.002
F07Q10045466,E,0.006,0.0069
F07Q10045571,E,0.006,0.0069
F07Q10045615,H,0.0236,0.0267
F07Q10045682,G,0.0129,0.0143
F07Q10045684,F,0.0098,0.011
F07Q10045718,H,0.0236,0.0267
F07Q10045721,H,0.0236,0.0267
F07Q10045781,E,0.006,0.0069
F07Q10045822,F,0.0098,0.011
F07Q10045874,F,0.0098,0.011
F07Q10045900,F,0.0098,0.011
F07Q10045909,F,0.0098,0.011
F07Q10045999,H,0.0236,0.0267
F07Q10046000,G,0.0129,0.0143
F07Q10046045,D,0.0025,0.0031
F07Q10046047,H,0.0236,0.0267
F07Q10046111,A,0.0005,0.0008
F07Q10046112,H,0.0236,0.0267
F07Q10046144,B,0.0012,0.0016
F07Q10046145,D,0.0025,0.0031
F07Q10046154,B,0.0012,0.0016
F07Q10046157,E,0.006,0.0069
F07Q10046166,D,0.0025,0.0031
F07Q10046193,F,0.0098,0.011
F07Q10046207,E,0.006,0.0069
F07Q10046214,E,0.006,0.0069
F07Q10046229,C,0.0015,0.002
F07Q10046245,C,0.0015,0.002
F07Q10046268,E,0.006,0.0069
F07Q10046282,H,0.0236,0.0267
F07Q10046302,C,0.0015,0.002
F07Q10046318,H,0.0236,0.0267
F07Q10046361,G,0.0129,0.0143
F07Q10046430,C,0.0015,0.002
F07Q10046465,D,0.0025,0.0031
F07Q10046466,H,0.0236,0.0267
F07Q10046487,F,0.0098,0.011
F07Q10046501,B,0.0012,0.0016
F07Q10046505,H,0.0236,0.0267
F07Q10046517,F,0.0098,0.011
F07Q10046563,E,0.006,0.0069
F07Q10046565,D,0.0025,0.0031
F07Q10046571,G,0.0129,0.0143
F07Q10046601,D,0.0025,0.0031
F07Q10046623,C,0.0015,0.002
F07Q10046657,C,0.0015,0.002
F07Q10046678,F,0.0098,0.011
F07Q10046748,D,0.0025,0.0031
F07Q10046781,F,0.0098,0.011
F07Q10046787,A,0.0005,0.0008
F07Q10046791,B,0.0012,0.0016
F07Q10046803,G,0.0129,0.0143
F07Q10046940,H,0.0236,0.0267
F07Q10046995,G,0.0129,0.0143
F07Q10047062,F,0.0098,0.011
F07Q10047076,B,0.0012,0.0016
F07Q10047095,E,0.006,0.0069
F07Q10047116,B,0.0012,0.0016
F07Q10047173,C,0.0015,0.002
F07Q10047178,F,0.0098,0.011
F07Q10047222,F,0.0098,0.011
F07Q10047269,D,0.0025,0.0031
F07Q10047278,B,0.0012,0.0016
F07Q10047306,C,0.0015,0.002
F07Q10047357,E,0.006,0.0069
F07Q10047373,D,0.0025,0.0031
F07Q10047407,D,0.0025,0.0031
F07Q10047450,D,0.0025,0.0031
F07Q10047489,A,0.0005,0.0008
F07Q10047507,G,0.0129,0.0143
F07Q10047511,C,0.0015,0.002
F07Q10047517,A,0.0005,0.0008
F07Q10047539,F,0.0098,0.011
F07Q10047579,G,0.0129,0.0143
F07Q10047581,A,0.0005,0.0008
F07Q10047606,E,0.006,0.0069
F07Q10047648,A,0.0005,0.0008
F07Q10047669,A,0.0005,0.0008
F07Q10047687,F,0.0098,0.011
F07Q10047873,H,0.0236,0.0267
F07Q10047928,G,0.0129,0.0143
F07Q10048002,E,0.006,0.0069
F07Q10048017,C,0.0015,0.002
F07Q10048073,E,0.006,0.0069
F07Q10048099,D,0.0025,0.0031
F07Q10048138,A,0.0005,0.0008
F07Q10048211,D,0.0025,0.0031
F07Q10048285,G,0.0129,0.0143
F07Q10048300,G,0.0129,0.0143
F07Q10048301,F,0.0098,0.011
F07Q10048360,E,0.006,0.0069
F07Q10048362,E,0.006,0.0069
F07Q10048450,E,0.006,0.0069
F07Q10048476,G,0.0129,0.0143
F07Q10048598,B,0.0012,0.0016
F07Q10048644,G,0.0129,0.0143
F07Q10048701,C,0.0015,0.002
F07Q10048758,A,0.0005,0.0008
F07Q10048800,D,0.0025,0.0031
F07Q10048803,E,0.006,0.0069
